epoch,accuracy,loss,val_accuracy,val_loss
0,0.7320312261581421,0.5529219508171082,0.8932291865348816,0.3472622036933899
1,0.9563281536102295,0.19528964161872864,0.9679166674613953,0.14528001844882965
2,0.9844270944595337,0.09813874959945679,0.9723958373069763,0.11812606453895569
3,0.9903125166893005,0.07415696233510971,0.9722916483879089,0.10906808078289032
4,0.9922656416893005,0.061455123126506805,0.9742708206176758,0.10312112420797348
5,0.99393230676651,0.05265584588050842,0.973229169845581,0.10027811676263809
6,0.995104193687439,0.04577001929283142,0.9722916483879089,0.09977419674396515
7,0.9953646063804626,0.041046105325222015,0.9719791412353516,0.0991208627820015
8,0.9957551956176758,0.0368911474943161,0.9711458086967468,0.09862126410007477
9,0.9962760210037231,0.03371666744351387,0.9705208539962769,0.099228635430336
